Type,Value
Filename,[digits].plg
Filename,atexec.exe
Filename,detect.vbs
Filename,gothic.dat
Filename,handkerchief.dat
Filename,IEChecker.exe
Filename,logmeinsystrays.dat
Filename,mfeann.data
Filename,microsoft.workflow.compiler.dat
Filename,msseces.asm
Filename,NvSmart.hlp
Filename,obedience.exe
Filename,schf.its
Filename,secretsdump.exe
Filename,SFCNS.dat
Filename,starburn.dll
Filename,t.vbs
Filename,Vba32ar.cab.dat
Filename,Vba32arch.dll
Filename,wpf-etw.dat
Filepath,%ALLUSERSPROFILE%\\SxS
Filepath,%USERPROFILE%\AppData\Local\Temp\winsyslog\mPclient.dll
Filepath,%USERPROFILE%\AppData\Local\Temp\winsyslog\msseces.asm
Filepath,%USERPROFILE%\AppData\Local\Temp\winsyslog\msseces.exe
Filepath,%USERPROFILE%\\AppData\Roaming\notron.exe
Filepath,C:\recovery\csvde.exe
Filepath,C:\recovery\lockdown.dll
Filepath,C:\recovery\mfeann.exe
Filepath,C:\recovery\mpsvc.dll
Filepath,C:\recovery\MsMpEng.exe
Filepath,C:\recovery\nbt.exe
Filepath,C:\recovery\nosystem.exe
Filepath,C:\windows\system32\RedLeaves.exe
Filepath,C:\Windows\Temp\winsyslog\mPclient.dll
Filepath,C:\Windows\Vss\Setup.exe
Filepath,C:\Windows\Vss\SetupEngine.dll
Filepath,C:\Windows\Vss\SFCNS.dat
Mutex,&#@tz931(
Mutex,0mm7b2k8c
Mutex,2156jsdkh
Mutex,54bc6939a1de55fd
Mutex,a85edfea9aa3f292
Mutex,c516394560dfdc20
Mutex,cvxcbcbvw
Mutex,Deosodlwfiadlkfajksllw
Mutex,DF#EGDGFD
Mutex,DY&F*#KJK
Mutex,g6nncn1m1
Mutex,jfkgjr$##
Mutex,K!@DKFK#*
Mutex,RedLeavesCMDSimulatorMutex
Mutex,vv11287GD
NamePipe,\.\pipe\NamePipe_MoreWindows
RegistryKey,HKEY_CURRENT_USER\SOFTWARE\EGGORG
RegistryKey,HKCU\Software\Classes\VirtualStore\MACHINE\Software\rar\e
RegistryKey,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\ISeC CrootReadr
RegistryKey,HKCU\Software\rar\ActiveSettings
RegistryKey,HKCU\Software\rar\data
RegistryKey,HKCU\Software\rar\e
RegistryKey,HKCU\Software\rar\s
RegistryKey,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\pedetdata
RegistryKey,HKEY_LOCAL_MACHINE\Software\CLASSES\MJ
RegistryKey,HKEY_LOCAL_MACHINE\Software\CLASSES\MJ\PROXY
RegistryKey,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\pedetdata
url,002562066559681.r3u8.com
url,031168053846049.r3u8.com
url,0625.have8000.com
url,1.gadskysun.com
url,100fanwen.com
url,11.usyahooapis.com
url,19518473326.r3u8.com
url,1960445709311199.r3u8.com
url,1j.www1.biz
url,1z.itsaol.com
url,2012yearleft.com
url,2014.zzux.com
url,202017845.r3u8.com
url,2139465544784.r3u8.com
url,2789203959848958.r3u8.com
url,5590428449750026.r3u8.com
url,5q.niushenghuo.info
url,6r.suibian2010.info
url,9gowg.tech
url,a.wubangtu.info
url,a1.suibian2010.info
url,ab.4pu.com
url,abc.wikaba.com
url,abcd120719.6600.org
url,abcd120807.3322.org
url,acc.emailfound.info
url,acc.lehigtapp.com
url,acsocietyy.com
url,ad.getfond.info
url,ad.webbooting.com
url,additional.sexidude.com
url,af.zyns.com
url,afc.https443.org
url,ako.ddns.us
url,androidmusicapp.onmypc.us
